sa2_code,name,worksheet_row,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_2025
210011226,Airport West,909,8362,8240,8273,8437,8612,8783
210011227,Essendon Airport,910,11,14,14,14,14,14
210011228,Keilor,911,8778,8596,8531,8548,8675,8732
210011230,Niddrie - Essendon West,912,7646,7520,7560,7777,7898,8048
210011231,Strathmore,913,10277,10107,10167,10301,10427,10536
210011533,Avondale Heights,914,12642,12473,12377,12556,12792,12861
210011534,Keilor East,915,15471,15174,15173,15289,15463,15645
210021232,Gisborne,916,14245,14340,14446,14885,15405,15959
210021233,Macedon,917,3536,3540,3571,3570,3623,3615
210021234,Riddells Creek,918,4442,4498,4521,4537,4520,4589
210021235,Romsey,919,10612,10835,11079,11247,11463,11567
210031236,Coburg North,920,8775,8513,8581,8788,8882,8932
210031237,Fawkner,921,14781,14184,14160,14667,14900,15096
210031439,Gowanbrae,922,3156,3141,3123,3174,3173,3215
210031440,Hadfield,923,6394,6298,6364,6502,6625,6650
210031535,Glenroy - East,924,15565,14980,14830,15381,15671,15762
210031536,Glenroy - West,925,9246,8976,8985,9311,9518,9563
210031537,Oak Park,926,8153,7978,8081,8257,8450,8559
210031538,Pascoe Vale,927,17951,17402,17425,17876,18356,18674
210041240,Sunbury,928,13858,13788,13820,14197,14758,15364
210041539,Diggers Rest,929,4651,5302,5829,6425,6946,7434
210041540,Sunbury - South,930,15046,15103,15464,16011,16773,17683
210041541,Sunbury - West,931,11547,11271,11131,11355,11368,11497
210051242,Broadmeadows,932,14747,14063,13921,14313,14734,14972
210051243,Campbellfield - Coolaroo,933,16885,16245,15858,16188,16389,16386
210051245,Gladstone Park - Westmeadows,934,18598,18176,17969,18144,18208,18285
210051246,Greenvale - Bulla,935,21279,22406,23492,24570,25668,26757
210051247,Meadow Heights,936,15840,15070,14627,14853,14915,14841
210051248,Melbourne Airport,937,143,130,130,130,130,130
210051250,Tullamarine,938,6824,6628,6486,6551,6667,6727
210051441,Craigieburn - Central,939,8715,8190,7965,8107,8170,8172
210051442,Craigieburn - North,940,12893,12446,12399,12649,12833,12846
210051443,Craigieburn - South,941,21632,22007,22533,23418,23994,24431
210051445,Mickleham - Yuroke,942,18657,23795,28481,31864,35244,39389
210051542,Craigieburn - North West,943,9253,9975,10339,10721,11144,11293
210051543,Craigieburn - West,944,12687,13194,13602,14203,14699,14970
210051544,Roxburgh Park (South) - Somerton,945,10043,9582,9484,9656,9691,9699
210051545,Roxburgh Park - North,946,14993,14848,14936,15149,15375,15440
